chr_number,chromosome,total_not_covered,first_15_percent,middle_70_percent,last_15_percent,Method
1,NC_060173.1,8537967,28.8014,42.7572,28.4414,lowinput
2,NC_060174.1,7339686,27.932,34.3302,37.7377,lowinput
3,NC_060175.1,8235060,28.1439,40.6728,31.1833,lowinput
4,NC_060176.1,6490581,24.6493,43.9073,31.4435,lowinput
5,NC_060177.1,9616983,35.5035,36.6516,27.8449,lowinput
6,NC_060178.1,7718406,33.2457,45.6992,21.0552,lowinput
7,NC_060179.1,8060417,29.704,41.2638,29.0321,lowinput
8,NC_060180.1,5783877,25.698,41.7626,32.5394,lowinput
9,NC_060181.1,10200232,29.4655,46.0335,24.501,lowinput
10,NC_060182.1,9883612,27.7765,44.6037,27.6198,lowinput
11,NC_060183.1,7901669,31.1897,43.5984,25.2119,lowinput
12,NC_060184.1,7687590,29.6246,40.8227,29.5527,lowinput
13,NC_060185.1,11017577,26.8372,49.4978,23.6649,lowinput
14,NC_060186.1,9157364,28.5719,43.026,28.4021,lowinput
15,NC_060187.1,7777794,26.7988,47.7202,25.481,lowinput
16,NC_060188.1,8286791,27.29,37.2372,35.4729,lowinput
17,NC_060189.1,4533955,33.1865,49.4202,17.3934,lowinput
18,NC_060190.1,7517847,26.4015,39.3805,34.218,lowinput
19,NC_060191.1,8898702,19.5572,50.682,29.7608,lowinput
20,NC_060192.1,4695516,10.5503,54.6761,34.7736,lowinput
21,NC_060193.1,6589679,36.6372,42.7129,20.6499,lowinput
22,NC_060194.1,4731226,7.71614,59.2797,33.0042,lowinput
23,NC_060195.1,8998525,22.198,50.5711,27.2309,lowinput
24,NC_060196.1,7185200,23.1747,46.9953,29.8299,lowinput
25,NC_060197.1,5607090,14.5461,53.5289,31.9249,lowinput
26,NC_060198.1,3454299,29.5654,46.7509,23.6838,lowinput
27,NC_060199.1,148133,18.6596,67.4691,13.8713,lowinput
1,NC_060173.1,6035685,29.3517,40.971,29.6773,lowinput_P100
2,NC_060174.1,5487230,28.4109,33.5192,38.07,lowinput_P100
3,NC_060175.1,5861601,29.5059,39.8299,30.6642,lowinput_P100
4,NC_060176.1,4618500,24.6692,42.2367,33.0941,lowinput_P100
5,NC_060177.1,7236579,37.8562,33.7134,28.4304,lowinput_P100
6,NC_060178.1,5807362,33.4127,44.6872,21.9,lowinput_P100
7,NC_060179.1,5860562,28.6724,41.9133,29.4144,lowinput_P100
8,NC_060180.1,4517651,25.1202,41.3538,33.526,lowinput_P100
9,NC_060181.1,7394262,28.6884,45.9005,25.4111,lowinput_P100
10,NC_060182.1,7321870,27.3687,44.455,28.1763,lowinput_P100
11,NC_060183.1,6029515,31.0585,43.2178,25.7237,lowinput_P100
12,NC_060184.1,5733613,29.6565,40.4235,29.92,lowinput_P100
13,NC_060185.1,8018309,27.8962,47.5147,24.5891,lowinput_P100
14,NC_060186.1,6980067,29.6977,41.9416,28.3607,lowinput_P100
15,NC_060187.1,5456563,27.852,49.6561,22.4919,lowinput_P100
16,NC_060188.1,6374616,26.0701,39.1322,34.7977,lowinput_P100
17,NC_060189.1,3408511,34.2659,48.6305,17.1037,lowinput_P100
18,NC_060190.1,5849451,26.4907,39.1673,34.342,lowinput_P100
19,NC_060191.1,6107689,17.8963,50.0593,32.0444,lowinput_P100
20,NC_060192.1,3526857,9.89711,55.6471,34.4558,lowinput_P100
21,NC_060193.1,4779885,36.4069,44.4151,19.178,lowinput_P100
22,NC_060194.1,3754199,9.06039,57.7792,33.1604,lowinput_P100
23,NC_060195.1,6606256,23.5646,49.2755,27.1599,lowinput_P100
24,NC_060196.1,5286861,24.2414,45.8238,29.9348,lowinput_P100
25,NC_060197.1,4034174,14.1213,53.4492,32.4295,lowinput_P100
26,NC_060198.1,2631761,27.4843,49.6474,22.8682,lowinput_P100
27,NC_060199.1,130893,16.8038,71.194,12.0022,lowinput_P100
