chr_number,chromosome,total_not_covered,first_15_percent,middle_70_percent,last_15_percent,Method
1,NC_060173.1,8019236,28.971,42.3671,28.6619,lowinput
2,NC_060174.1,6932621,28.4009,34.3349,37.2642,lowinput
3,NC_060175.1,7717299,28.67,40.2125,31.1175,lowinput
4,NC_060176.1,6148507,24.7976,43.1173,32.0851,lowinput
5,NC_060177.1,8981582,35.4099,36.0534,28.5368,lowinput
6,NC_060178.1,7187071,33.7148,44.7457,21.5395,lowinput
7,NC_060179.1,7724302,29.5824,40.1809,30.2367,lowinput
8,NC_060180.1,5554804,25.5951,41.0455,33.3594,lowinput
9,NC_060181.1,9641916,29.0578,46.1616,24.7807,lowinput
10,NC_060182.1,9313624,27.9618,44.2126,27.8256,lowinput
11,NC_060183.1,7407186,31.1168,43.4185,25.4647,lowinput
12,NC_060184.1,7184923,28.9979,41.1466,29.8554,lowinput
13,NC_060185.1,10538920,26.6422,48.905,24.4528,lowinput
14,NC_060186.1,8770541,28.2446,43.6485,28.1069,lowinput
15,NC_060187.1,7639147,27.7048,46.2769,26.0182,lowinput
16,NC_060188.1,7756297,28.2828,36.8148,34.9024,lowinput
17,NC_060189.1,4306965,34.0118,48.2626,17.7256,lowinput
18,NC_060190.1,7106957,26.8816,38.2684,34.85,lowinput
19,NC_060191.1,8325335,20.4874,50.5419,28.9708,lowinput
20,NC_060192.1,4455980,10.3408,54.5444,35.1147,lowinput
21,NC_060193.1,6199476,36.3075,43.317,20.3755,lowinput
22,NC_060194.1,4458076,7.74605,59.4251,32.8289,lowinput
23,NC_060195.1,8425159,22.1472,50.3694,27.4834,lowinput
24,NC_060196.1,6700353,21.9282,47.6859,30.3859,lowinput
25,NC_060197.1,5393686,14.6061,52.6896,32.7043,lowinput
26,NC_060198.1,3447106,29.7724,47.3939,22.8337,lowinput
27,NC_060199.1,403213,71.9555,23.5635,4.48101,lowinput
1,NC_060173.1,5169087,29.1287,42.3972,28.4741,lowinput_P100
2,NC_060174.1,4717817,28.3823,35.902,35.7157,lowinput_P100
3,NC_060175.1,5007537,29.0647,40.6901,30.2452,lowinput_P100
4,NC_060176.1,3953864,23.0466,44.159,32.7943,lowinput_P100
5,NC_060177.1,5850759,35.8673,35.1122,29.0206,lowinput_P100
6,NC_060178.1,4709075,33.492,45.4252,21.0827,lowinput_P100
7,NC_060179.1,4832860,28.7074,40.3703,30.9223,lowinput_P100
8,NC_060180.1,3637854,25.0205,40.8002,34.1793,lowinput_P100
9,NC_060181.1,5796901,28.8306,45.2424,25.927,lowinput_P100
10,NC_060182.1,5761392,28.1626,43.2598,28.5776,lowinput_P100
11,NC_060183.1,4694723,31.6135,41.9629,26.4236,lowinput_P100
12,NC_060184.1,4589555,29.2646,40.2476,30.4878,lowinput_P100
13,NC_060185.1,6480878,27.9164,46.643,25.4405,lowinput_P100
14,NC_060186.1,5584528,28.7117,42.5674,28.7208,lowinput_P100
15,NC_060187.1,4666955,29.3238,46.5263,24.1499,lowinput_P100
16,NC_060188.1,4880884,27.3585,37.7957,34.8458,lowinput_P100
17,NC_060189.1,2743691,35.5087,46.1473,18.344,lowinput_P100
18,NC_060190.1,4592632,27.3912,36.574,36.0348,lowinput_P100
19,NC_060191.1,4896903,19.2974,49.8001,30.9025,lowinput_P100
20,NC_060192.1,2826591,10.4257,52.9576,36.6167,lowinput_P100
21,NC_060193.1,3784521,36.9253,44.3889,18.6858,lowinput_P100
22,NC_060194.1,2879882,9.74811,57.4407,32.8112,lowinput_P100
23,NC_060195.1,5152757,23.4394,48.4785,28.0821,lowinput_P100
24,NC_060196.1,4091923,22.8437,46.382,30.7743,lowinput_P100
25,NC_060197.1,3385611,14.3758,52.3779,33.2463,lowinput_P100
26,NC_060198.1,2246263,28.9425,49.3985,21.659,lowinput_P100
27,NC_060199.1,301768,74.4632,21.8708,3.66606,lowinput_P100
1,NC_060173.1,7860337,29.3741,41.752,28.8739,normalinput
2,NC_060174.1,6762491,28.8684,33.4217,37.7099,normalinput
3,NC_060175.1,7571231,28.7666,39.7067,31.5267,normalinput
4,NC_060176.1,5996961,25.0403,42.5533,32.4064,normalinput
5,NC_060177.1,8815589,35.6371,35.6352,28.7277,normalinput
6,NC_060178.1,7013226,34.2459,44.0596,21.6945,normalinput
7,NC_060179.1,7565228,29.9028,39.6409,30.4563,normalinput
8,NC_060180.1,5377085,25.7947,40.1615,34.0438,normalinput
9,NC_060181.1,9401597,29.4376,45.6522,24.9103,normalinput
10,NC_060182.1,9058315,28.4114,43.5559,28.0327,normalinput
11,NC_060183.1,7174276,31.5516,42.8002,25.6482,normalinput
12,NC_060184.1,7034753,29.3629,40.527,30.11,normalinput
13,NC_060185.1,10284678,27.0689,48.5546,24.3766,normalinput
14,NC_060186.1,8593762,28.3108,43.4067,28.2825,normalinput
15,NC_060187.1,7402634,28.1204,45.455,26.4246,normalinput
16,NC_060188.1,7503860,28.7872,35.4184,35.7944,normalinput
17,NC_060189.1,4131281,34.3705,47.5334,18.0961,normalinput
18,NC_060190.1,6912046,27.234,37.671,35.095,normalinput
19,NC_060191.1,8154718,20.7428,50.1561,29.1012,normalinput
20,NC_060192.1,4322245,10.2017,53.9288,35.8695,normalinput
21,NC_060193.1,6076272,36.8587,42.6598,20.4815,normalinput
22,NC_060194.1,4312964,7.71929,58.6754,33.6053,normalinput
23,NC_060195.1,8296056,22.2987,49.959,27.7424,normalinput
24,NC_060196.1,6474158,21.9276,47.2977,30.7747,normalinput
25,NC_060197.1,5256651,14.9109,51.8706,33.2185,normalinput
26,NC_060198.1,3346494,30.5624,46.3941,23.0435,normalinput
27,NC_060199.1,391307,73.5226,21.6485,4.82895,normalinput
