chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	8537967	28.8014	42.7572	28.4414
2	NC_060174.1	7339686	27.932	34.3302	37.7377
3	NC_060175.1	8235060	28.1439	40.6728	31.1833
4	NC_060176.1	6490581	24.6493	43.9073	31.4435
5	NC_060177.1	9616983	35.5035	36.6516	27.8449
6	NC_060178.1	7718406	33.2457	45.6992	21.0552
7	NC_060179.1	8060417	29.704	41.2638	29.0321
8	NC_060180.1	5783877	25.698	41.7626	32.5394
9	NC_060181.1	10200232	29.4655	46.0335	24.501
10	NC_060182.1	9883612	27.7765	44.6037	27.6198
11	NC_060183.1	7901669	31.1897	43.5984	25.2119
12	NC_060184.1	7687590	29.6246	40.8227	29.5527
13	NC_060185.1	11017577	26.8372	49.4978	23.6649
14	NC_060186.1	9157364	28.5719	43.026	28.4021
15	NC_060187.1	7777794	26.7988	47.7202	25.481
16	NC_060188.1	8286791	27.29	37.2372	35.4729
17	NC_060189.1	4533955	33.1865	49.4202	17.3934
18	NC_060190.1	7517847	26.4015	39.3805	34.218
19	NC_060191.1	8898702	19.5572	50.682	29.7608
20	NC_060192.1	4695516	10.5503	54.6761	34.7736
21	NC_060193.1	6589679	36.6372	42.7129	20.6499
22	NC_060194.1	4731226	7.71614	59.2797	33.0042
23	NC_060195.1	8998525	22.198	50.5711	27.2309
24	NC_060196.1	7185200	23.1747	46.9953	29.8299
25	NC_060197.1	5607090	14.5461	53.5289	31.9249
26	NC_060198.1	3454299	29.5654	46.7509	23.6838
27	NC_060199.1	148133	18.6596	67.4691	13.8713
