chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	8019236	28.971	42.3671	28.6619
2	NC_060174.1	6932621	28.4009	34.3349	37.2642
3	NC_060175.1	7717299	28.67	40.2125	31.1175
4	NC_060176.1	6148507	24.7976	43.1173	32.0851
5	NC_060177.1	8981582	35.4099	36.0534	28.5368
6	NC_060178.1	7187071	33.7148	44.7457	21.5395
7	NC_060179.1	7724302	29.5824	40.1809	30.2367
8	NC_060180.1	5554804	25.5951	41.0455	33.3594
9	NC_060181.1	9641916	29.0578	46.1616	24.7807
10	NC_060182.1	9313624	27.9618	44.2126	27.8256
11	NC_060183.1	7407186	31.1168	43.4185	25.4647
12	NC_060184.1	7184923	28.9979	41.1466	29.8554
13	NC_060185.1	10538920	26.6422	48.905	24.4528
14	NC_060186.1	8770541	28.2446	43.6485	28.1069
15	NC_060187.1	7639147	27.7048	46.2769	26.0182
16	NC_060188.1	7756297	28.2828	36.8148	34.9024
17	NC_060189.1	4306965	34.0118	48.2626	17.7256
18	NC_060190.1	7106957	26.8816	38.2684	34.85
19	NC_060191.1	8325335	20.4874	50.5419	28.9708
20	NC_060192.1	4455980	10.3408	54.5444	35.1147
21	NC_060193.1	6199476	36.3075	43.317	20.3755
22	NC_060194.1	4458076	7.74605	59.4251	32.8289
23	NC_060195.1	8425159	22.1472	50.3694	27.4834
24	NC_060196.1	6700353	21.9282	47.6859	30.3859
25	NC_060197.1	5393686	14.6061	52.6896	32.7043
26	NC_060198.1	3447106	29.7724	47.3939	22.8337
27	NC_060199.1	403213	71.9555	23.5635	4.48101
