chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	8611712	28.8787	41.0631	30.0581
2	NC_060174.1	7366505	28.1917	33.2211	38.5873
3	NC_060175.1	8397632	28.3635	40.1244	31.5121
4	NC_060176.1	6558746	25.6857	42.6962	31.6181
5	NC_060177.1	9564493	35.4158	35.9353	28.6489
6	NC_060178.1	7560429	34.7919	44.3197	20.8884
7	NC_060179.1	8069242	30.2058	40.5528	29.2414
8	NC_060180.1	5772189	26.6013	39.3718	34.0269
9	NC_060181.1	10226987	29.9114	45.73	24.3586
10	NC_060182.1	9912144	28.5556	43.4846	27.9598
11	NC_060183.1	7776592	31.23	42.3401	26.4299
12	NC_060184.1	7617739	30.6766	39.604	29.7193
13	NC_060185.1	10978558	27.6455	48.5612	23.7933
14	NC_060186.1	9087625	29.103	41.5588	29.3382
15	NC_060187.1	7661637	27.0766	46.4839	26.4396
16	NC_060188.1	8267683	27.4828	35.5424	36.9748
17	NC_060189.1	4579025	33.9244	48.2829	17.7927
18	NC_060190.1	7321653	26.3482	38.4153	35.2364
19	NC_060191.1	9059826	19.9266	50.7327	29.3407
20	NC_060192.1	4681465	10.187	53.7325	36.0805
21	NC_060193.1	6705958	37.3894	41.6333	20.9773
22	NC_060194.1	4690207	7.29983	58.8829	33.8173
23	NC_060195.1	8935819	23.1636	49.9504	26.886
24	NC_060196.1	7151497	21.7409	47.0318	31.2273
25	NC_060197.1	5644137	14.7395	51.5092	33.7513
26	NC_060198.1	3450254	30.609	46.2183	23.1727
27	NC_060199.1	225964	46.6132	44.885	8.5018
