chromosome	window_start	window_end	mean_depth
NC_010959.1	1	100000	477.425
NC_060173.1	1	100000	7.91107
NC_060173.1	100001	200000	13.0073
NC_060173.1	200001	300000	8.3533
NC_060173.1	300001	400000	13.8543
NC_060173.1	400001	500000	13.5368
NC_060173.1	500001	600000	14.0026
NC_060173.1	600001	700000	14.845
NC_060173.1	700001	800000	12.9971
NC_060173.1	800001	900000	13.7335
NC_060173.1	900001	1000000	12.6421
NC_060173.1	1000001	1100000	8.79053
NC_060173.1	1100001	1200000	10.3132
NC_060173.1	1200001	1300000	13.0784
NC_060173.1	1300001	1400000	9.81274
NC_060173.1	1400001	1500000	11.3187
NC_060173.1	1500001	1600000	13.5126
NC_060173.1	1600001	1700000	10.4847
NC_060173.1	1700001	1800000	13.4399
NC_060173.1	1800001	1900000	14.728
NC_060173.1	1900001	2000000	11.608
NC_060173.1	2000001	2100000	9.26627
NC_060173.1	2100001	2200000	11.3963
NC_060173.1	2200001	2300000	11.3338
NC_060173.1	2300001	2400000	12.4624
NC_060173.1	2400001	2500000	6.58609
NC_060173.1	2500001	2600000	1.8441
NC_060173.1	2600001	2700000	4.76412
NC_060173.1	2700001	2800000	10.8302
NC_060173.1	2800001	2900000	8.37021
NC_060173.1	2900001	3000000	16.2235
NC_060173.1	3000001	3100000	17.6664
NC_060173.1	3100001	3200000	14.3256
NC_060173.1	3200001	3300000	12.1694
NC_060173.1	3300001	3400000	13.8755
NC_060173.1	3400001	3500000	13.1118
NC_060173.1	3500001	3600000	12.2128
NC_060173.1	3600001	3700000	10.3546
NC_060173.1	3700001	3800000	8.11456
NC_060173.1	3800001	3900000	8.04439
NC_060173.1	3900001	4000000	18.1727
NC_060173.1	4000001	4100000	11.6661
NC_060173.1	4100001	4200000	8.62603
NC_060173.1	4200001	4300000	2.69815
NC_060173.1	4300001	4400000	12.9211
NC_060173.1	4400001	4500000	10.9255
NC_060173.1	4500001	4600000	14.0661
NC_060173.1	4600001	4700000	11.3809
NC_060173.1	4700001	4800000	11.2797
NC_060173.1	4800001	4900000	8.17136
NC_060173.1	4900001	5000000	11.1316
NC_060173.1	5000001	5100000	11.2238
NC_060173.1	5100001	5200000	11.7424
