chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	6035685	29.3517	40.971	29.6773
2	NC_060174.1	5487230	28.4109	33.5192	38.07
3	NC_060175.1	5861601	29.5059	39.8299	30.6642
4	NC_060176.1	4618500	24.6692	42.2367	33.0941
5	NC_060177.1	7236579	37.8562	33.7134	28.4304
6	NC_060178.1	5807362	33.4127	44.6872	21.9
7	NC_060179.1	5860562	28.6724	41.9133	29.4144
8	NC_060180.1	4517651	25.1202	41.3538	33.526
9	NC_060181.1	7394262	28.6884	45.9005	25.4111
10	NC_060182.1	7321870	27.3687	44.455	28.1763
11	NC_060183.1	6029515	31.0585	43.2178	25.7237
12	NC_060184.1	5733613	29.6565	40.4235	29.92
13	NC_060185.1	8018309	27.8962	47.5147	24.5891
14	NC_060186.1	6980067	29.6977	41.9416	28.3607
15	NC_060187.1	5456563	27.852	49.6561	22.4919
16	NC_060188.1	6374616	26.0701	39.1322	34.7977
17	NC_060189.1	3408511	34.2659	48.6305	17.1037
18	NC_060190.1	5849451	26.4907	39.1673	34.342
19	NC_060191.1	6107689	17.8963	50.0593	32.0444
20	NC_060192.1	3526857	9.89711	55.6471	34.4558
21	NC_060193.1	4779885	36.4069	44.4151	19.178
22	NC_060194.1	3754199	9.06039	57.7792	33.1604
23	NC_060195.1	6606256	23.5646	49.2755	27.1599
24	NC_060196.1	5286861	24.2414	45.8238	29.9348
25	NC_060197.1	4034174	14.1213	53.4492	32.4295
26	NC_060198.1	2631761	27.4843	49.6474	22.8682
27	NC_060199.1	130893	16.8038	71.194	12.0022
