chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	47746399	18.9022	61.4691	19.6287
2	NC_060174.1	42190752	19.8633	58.3261	21.8106
3	NC_060175.1	42861542	20.9528	58.7552	20.292
4	NC_060176.1	31476432	16.9944	60.0775	22.9281
5	NC_060177.1	40463077	21.4302	58.02	20.5498
6	NC_060178.1	42866053	20.409	60.5738	19.0172
7	NC_060179.1	36860144	21.3688	57.6451	20.9861
8	NC_060180.1	29339039	16.669	60.6165	22.7145
9	NC_060181.1	42635036	21.4194	58.6922	19.8884
10	NC_060182.1	40963181	20.3682	59.1573	20.4745
11	NC_060183.1	35031958	21.3944	58.8965	19.7091
12	NC_060184.1	34502376	21.4424	57.3844	21.1732
13	NC_060185.1	44087378	21.0456	58.7288	20.2256
14	NC_060186.1	37326982	18.7132	60.723	20.5638
15	NC_060187.1	32118728	21.5981	60.2525	18.1494
16	NC_060188.1	38503303	17.7545	59.5284	22.7171
17	NC_060189.1	21139578	22.7559	62.5576	14.6864
18	NC_060190.1	33160734	18.2889	58.6042	23.1068
19	NC_060191.1	32991755	17.1766	59.5572	23.2662
20	NC_060192.1	18884913	12.9915	63.5251	23.4834
21	NC_060193.1	26203232	22.4399	61.475	16.0851
22	NC_060194.1	21281027	14.2147	63.0544	22.731
23	NC_060195.1	32171314	20.0954	62.4898	17.4148
24	NC_060196.1	27317040	15.1378	62.0887	22.7736
25	NC_060197.1	20757513	14.1681	62.0391	23.7927
26	NC_060198.1	16194728	16.5795	66.2083	17.2122
27	NC_060199.1	1597947	23.4773	63.9089	12.6137
