chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	4844954	30.5601	36.7181	32.7218
2	NC_060174.1	4380545	29.5964	29.8885	40.5152
3	NC_060175.1	4847344	30.7474	36.6549	32.5978
4	NC_060176.1	3724162	26.2562	38.7754	34.9683
5	NC_060177.1	5848984	38.9418	30.6735	30.3847
6	NC_060178.1	4479011	37.4368	40.2256	22.3376
7	NC_060179.1	4528439	30.3815	38.6632	30.9553
8	NC_060180.1	3532651	27.0545	34.9631	37.9824
9	NC_060181.1	5779326	30.3364	43.3781	26.2855
10	NC_060182.1	5808934	29.5148	40.5293	29.9559
11	NC_060183.1	4617194	32.4541	38.8123	28.7336
12	NC_060184.1	4406571	32.839	35.568	31.593
13	NC_060185.1	6254293	30.8439	43.3318	25.8243
14	NC_060186.1	5439654	32.1959	36.99	30.8141
15	NC_060187.1	4106338	29.8518	45.644	24.5042
16	NC_060188.1	4973880	27.4067	33.6456	38.9477
17	NC_060189.1	2638578	37.7411	44.2817	17.9772
18	NC_060190.1	4472118	27.398	34.8392	37.7628
19	NC_060191.1	4893212	18.2542	48.5211	33.2246
20	NC_060192.1	2797096	9.29707	52.6465	38.0564
21	NC_060193.1	3874027	39.6844	40.6914	19.6242
22	NC_060194.1	2889172	8.87514	56.2412	34.8837
23	NC_060195.1	5242519	25.5401	46.6899	27.77
24	NC_060196.1	4125094	23.306	43.586	33.108
25	NC_060197.1	3210618	14.3864	48.7399	36.8737
26	NC_060198.1	2017820	30.6386	46.516	22.8454
27	NC_060199.1	161223	49.911	44.2207	5.86827
